Date,variant_freq,label,label1
2021-07-18,0.9537168424643395,70perc1May,high
2021-07-19,0.9539297899000488,70perc1May,high
2021-07-20,0.9541313941518553,70perc1May,high
2021-07-21,0.9543222551321688,70perc1May,high
2021-07-22,0.9545029414745705,70perc1May,high
2021-07-23,0.9546739921177739,70perc1May,high
2021-07-24,0.9548359178143094,70perc1May,high
2021-07-25,0.9549892025669744,70perc1May,high
2021-07-26,0.9551343049960375,70perc1May,high
2021-07-27,0.9552716596401124,70perc1May,high
2021-07-28,0.9554016781935388,70perc1May,high
2021-07-29,0.9555247506830292,70perc1May,high
2021-07-30,0.9556412465862643,70perc1May,high
2021-07-31,0.9557515158950232,70perc1May,high
2021-08-01,0.9558558901253613,70perc1May,high
2021-08-02,0.9559546832772522,70perc1May,high
2021-08-03,0.95604819274603,70perc1May,high
2021-08-04,0.9561367001878749,70perc1May,high
2021-08-05,0.9562204723415085,70perc1May,high
2021-08-06,0.9562997618081711,70perc1May,high
2021-08-07,0.9563748077918747,70perc1May,high
2021-08-08,0.9564458368018447,70perc1May,high
2021-08-09,0.956513063318981,70perc1May,high
2021-08-10,0.9565766904280893,70perc1May,high
2021-08-11,0.956636910417564,70perc1May,high
2021-08-12,0.9566939053481268,70perc1May,high
2021-08-13,0.9567478475921471,70perc1May,high
2021-08-14,0.9567989003450177,70perc1May,high
2021-08-15,0.9568472181099758,70perc1May,high
2021-08-16,0.9568929471577015,70perc1May,high
2021-08-17,0.9569362259619714,70perc1May,high
2021-08-18,0.9569771856125687,70perc1May,high
2021-08-19,0.9570159502066125,70perc1May,high
2021-08-20,0.9570526372193974,70perc1May,high
2021-08-21,0.9570873578557959,70perc1May,high
2021-08-22,0.9571202173832141,70perc1May,high
2021-08-23,0.9571513154470483,70perc1May,high
2021-08-24,0.9571807463695481,70perc1May,high
2021-08-25,0.9572085994329321,70perc1May,high
2021-08-26,0.9572349591475825,70perc1May,high
2021-08-27,0.95725990550608,70perc1May,high
2021-08-28,0.9572835142238231,70perc1May,high
2021-08-29,0.9573058569669238,70perc1May,high
2021-08-30,0.9573270015680456,70perc1May,high
2021-08-31,0.9573470122308118,70perc1May,high
2021-09-01,0.9573659497233801,70perc1May,high
2021-09-02,0.9573838715617562,70perc1May,high
2021-09-03,0.9574008321833744,70perc1May,high
2021-09-04,0.957416883111467,70perc1May,high
2021-09-05,0.9574320731106981,70perc1May,high
2021-09-06,0.9574464483345252,70perc1May,high
2021-09-07,0.9574600524647247,70perc1May,high
2021-09-08,0.9574729268434911,70perc1May,high
2021-09-09,0.957485110598506,70perc1May,high
2021-09-10,0.9574966407613461,70perc1May,high
2021-09-11,0.9575075523795799,70perc1May,high
2021-09-12,0.957517878622893,70perc1May,high
2021-09-13,0.9575276508835526,70perc1May,high
2021-09-14,0.9575368988715136,70perc1May,high
2021-09-15,0.9575456507044513,70perc1May,high
2021-09-16,0.9575539329929866,70perc1May,high
2021-09-17,0.9575617709213637,70perc1May,high
2021-09-18,0.9575691883238163,70perc1May,high
2021-09-19,0.9575762077568575,70perc1May,high
2021-09-20,0.9575828505677045,70perc1May,high
2021-09-21,0.9575891369590487,70perc1May,high
2021-09-22,0.9575950860503605,70perc1May,high
2021-09-23,0.9576007159359197,70perc1May,high
2021-09-24,0.9576060437397399,70perc1May,high
2021-09-25,0.9576110856675563,70perc1May,high
2021-09-26,0.9576158570560314,70perc1May,high
2021-09-27,0.9576203724193284,70perc1May,high
2021-09-28,0.9576246454931935,70perc1May,high
2021-09-29,0.9576286892766748,70perc1May,high
2021-09-30,0.9576325160716127,70perc1May,high
2021-10-01,0.9576361375200129,70perc1May,high
2021-10-02,0.9576395646394182,70perc1May,high
2021-10-03,0.9576428078563891,70perc1May,high
2021-10-04,0.9576458770381868,70perc1May,high
2021-10-05,0.9576487815227627,70perc1May,high
2021-10-06,0.9576515301471397,70perc1May,high
2021-10-07,0.9576541312742732,70perc1May,high
2021-10-08,0.9576565928184733,70perc1May,high
2021-10-09,0.9576589222694637,70perc1May,high
2021-10-10,0.9576611267151529,70perc1May,high
2021-10-11,0.9576632128631839,70perc1May,high
2021-10-12,0.9576651870613285,70perc1May,high
2021-10-13,0.9576670553167901,70perc1May,high
2021-10-14,0.9576688233144697,70perc1May,high
2021-10-15,0.9576704964342544,70perc1May,high
2021-10-16,0.9576720797673788,70perc1May,high
2021-10-17,0.9576735781319077,70perc1May,high
2021-10-18,0.9576749960873899,70perc1May,high
2021-10-19,0.9576763379487275,70perc1May,high
2021-10-20,0.957677607799298,70perc1May,high
2021-10-21,0.9576788095033764,70perc1May,high
2021-10-22,0.9576799467178894,70perc1May,high
2021-10-23,0.9576810229035383,70perc1May,high
2021-10-24,0.9576820413353275,70perc1May,high
2021-10-25,0.9576830051125275,70perc1May,high
2021-10-26,0.9576839171681018,70perc1May,high
2021-10-27,0.9576847802776315,70perc1May,high
2021-10-28,0.9576855970677585,70perc1May,high
2021-10-29,0.9576863700241764,70perc1May,high
2021-10-30,0.9576871014991937,70perc1May,high
2021-10-31,0.9576877937188905,70perc1May,high
2021-11-01,0.9576884487898907,70perc1May,high
2021-11-02,0.957689068705773,70perc1May,high
2021-11-03,0.957689655353135,70perc1May,high
2021-11-04,0.957690210517335,70perc1May,high
2021-11-05,0.9576907358879235,70perc1May,high
2021-11-06,0.9576912330637841,70perc1May,high
2021-11-07,0.9576917035579993,70perc1May,high
2021-11-08,0.9576921488024533,70perc1May,high
2021-11-09,0.9576925701521913,70perc1May,high
2021-11-10,0.9576929688895399,70perc1May,high
2021-11-11,0.9576933462280117,70perc1May,high
2021-11-12,0.9576937033159961,70perc1May,high
2021-11-13,0.9576940412402554,70perc1May,high
2021-11-14,0.9576943610292309,70perc1May,high
